"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Prep","PPCE_MOUSE","PPCE_MOUSE",7,3,20,"PPCE_MOUSE","Q9QUR6","PPCE_MOUSE","PPCE_MOUSE",7,3,20,"PPCE_MOUSE","Q9QUR6","PREP"
"Prkar1a","KAP0_MOUSE","KAP0_MOUSE",2,0,1,"KAP0_MOUSE","Q9DBC7","KAP0_MOUSE","KAP0_MOUSE",2,0,1,"KAP0_MOUSE","Q9DBC7","PRKAR1A"
"Prkcsh","GLU2B_MOUSE","GLU2B_MOUSE",7,8,9,"GLU2B_MOUSE","O08795","GLU2B_MOUSE","GLU2B_MOUSE",7,8,9,"GLU2B_MOUSE","O08795","PRKCSH"
"Psma1","PSA1_MOUSE","PSA1_MOUSE",3,0,6,"PSA1_MOUSE","Q9R1P4","PSA1_MOUSE","PSA1_MOUSE",3,0,6,"PSA1_MOUSE","Q9R1P4","PSMA1"
"Psma2","PSA2_MOUSE","PSA2_MOUSE",2,0,4,"PSA2_MOUSE","P49722","PSA2_MOUSE","PSA2_MOUSE",2,0,4,"PSA2_MOUSE","P49722","PSMA2"
"Psma3","PSA3_MOUSE","PSA3_MOUSE",2,1,2,"PSA3_MOUSE","O70435","PSA3_MOUSE","PSA3_MOUSE",2,1,2,"PSA3_MOUSE","O70435","PSMA3"
"Psma4","PSA4_MOUSE","PSA4_MOUSE",3,0,5,"PSA4_MOUSE","Q9R1P0","PSA4_MOUSE","PSA4_MOUSE",3,0,5,"PSA4_MOUSE","Q9R1P0","PSMA4"
"Psma5","PSA5_MOUSE","PSA5_MOUSE",3,0,8,"PSA5_MOUSE","Q9Z2U1","PSA5_MOUSE","PSA5_MOUSE",3,0,8,"PSA5_MOUSE","Q9Z2U1","PSMA5"
"Psma6","PSA6_MOUSE","PSA6_MOUSE",4,1,6,"PSA6_MOUSE","Q9QUM9","PSA6_MOUSE","PSA6_MOUSE",4,1,6,"PSA6_MOUSE","Q9QUM9","PSMA6"
"Psma7","PSA7_MOUSE","PSA7_MOUSE",3,0,8,"PSA7_MOUSE","Q9Z2U0","PSA7_MOUSE","PSA7_MOUSE",3,0,8,"PSA7_MOUSE","Q9Z2U0","PSMA7"
"Psmb1","PSB1_MOUSE","PSB1_MOUSE",4,0,5,"PSB1_MOUSE","O09061","PSB1_MOUSE","PSB1_MOUSE",4,0,5,"PSB1_MOUSE","O09061","PSMB1"
"Psmb2","PSB2_MOUSE","PSB2_MOUSE",3,0,3,"PSB2_MOUSE","Q9R1P3","PSB2_MOUSE","PSB2_MOUSE",3,0,3,"PSB2_MOUSE","Q9R1P3","PSMB2"
"Psmb3","PSB3_MOUSE","PSB3_MOUSE",2,0,3,"PSB3_MOUSE","Q9R1P1","PSB3_MOUSE","PSB3_MOUSE",2,0,3,"PSB3_MOUSE","Q9R1P1","PSMB3"
"Psmb4","PSB4_MOUSE","PSB4_MOUSE",4,0,4,"PSB4_MOUSE","P99026","PSB4_MOUSE","PSB4_MOUSE",4,0,4,"PSB4_MOUSE","P99026","PSMB4"
"Psmb5","PSB5_MOUSE","PSB5_MOUSE",1,0,6,"PSB5_MOUSE","O55234","PSB5_MOUSE","PSB5_MOUSE",1,0,6,"PSB5_MOUSE","O55234","PSMB5"
"Psmb6","PSB6_MOUSE","PSB6_MOUSE",2,0,3,"PSB6_MOUSE","Q60692","PSB6_MOUSE","PSB6_MOUSE",2,0,3,"PSB6_MOUSE","Q60692","PSMB6"
"Psmc1","PRS4_MOUSE","PRS4_MOUSE",3,0,5,"PRS4_MOUSE","P62192","PRS4_MOUSE","PRS4_MOUSE",3,0,5,"PRS4_MOUSE","P62192","PSMC1"
"Psmc2","PRS7_MOUSE","PRS7_MOUSE",5,0,9,"PRS7_MOUSE","P46471","PRS7_MOUSE","PRS7_MOUSE",5,0,9,"PRS7_MOUSE","P46471","PSMC2"
"Psmc3","PRS6A_MOUSE","PRS6A_MOUSE",6,1,9,"PRS6A_MOUSE","O88685","PRS6A_MOUSE","PRS6A_MOUSE",6,1,9,"PRS6A_MOUSE","O88685","PSMC3"
"Psmc4","PRS6B_MOUSE","PRS6B_MOUSE",7,0,9,"PRS6B_MOUSE","P54775","PRS6B_MOUSE","PRS6B_MOUSE",7,0,9,"PRS6B_MOUSE","P54775","PSMC4"
"Psmc5","PRS8_MOUSE","PRS8_MOUSE",4,0,8,"PRS8_MOUSE","P62196","PRS8_MOUSE","PRS8_MOUSE",4,0,8,"PRS8_MOUSE","P62196","PSMC5"
"Psmc6","PRS10_MOUSE","PRS10_MOUSE",2,0,7,"PRS10_MOUSE","P62334","PRS10_MOUSE","PRS10_MOUSE",2,0,7,"PRS10_MOUSE","P62334","PSMC6"
"Psmd1","PSMD1_MOUSE","PSMD1_MOUSE",8,2,14,"PSMD1_MOUSE","Q3TXS7","PSMD1_MOUSE","PSMD1_MOUSE",8,2,14,"PSMD1_MOUSE","Q3TXS7","PSMD1"
"Psmd11","PSD11_MOUSE","PSD11_MOUSE",5,0,8,"PSD11_MOUSE","Q8BG32","PSD11_MOUSE","PSD11_MOUSE",5,0,8,"PSD11_MOUSE","Q8BG32","PSMD11"
"Psmd12","PSD12_MOUSE","PSD12_MOUSE",8,1,11,"PSD12_MOUSE","Q9D8W5","PSD12_MOUSE","PSD12_MOUSE",8,1,11,"PSD12_MOUSE","Q9D8W5","PSMD12"
"Psmd13","PSD13_MOUSE","PSD13_MOUSE",5,2,8,"PSD13_MOUSE","Q9WVJ2","PSD13_MOUSE","PSD13_MOUSE",5,2,8,"PSD13_MOUSE","Q9WVJ2","PSMD13"
"Psmd14","PSDE_MOUSE","PSDE_MOUSE",5,0,5,"PSDE_MOUSE","O35593","PSDE_MOUSE","PSDE_MOUSE",5,0,5,"PSDE_MOUSE","O35593","PSMD14"
"Psmd2","PSMD2_MOUSE","PSMD2_MOUSE",10,7,12,"PSMD2_MOUSE","Q8VDM4","PSMD2_MOUSE","PSMD2_MOUSE",10,7,12,"PSMD2_MOUSE","Q8VDM4","PSMD2"
"Psmd3","PSMD3_MOUSE","PSMD3_MOUSE",5,3,9,"PSMD3_MOUSE","P14685","PSMD3_MOUSE","PSMD3_MOUSE",5,3,9,"PSMD3_MOUSE","P14685","PSMD3"
"Psmd4","PSMD4_MOUSE","PSMD4_MOUSE",4,0,3,"PSMD4_MOUSE","O35226","PSMD4_MOUSE","PSMD4_MOUSE",4,0,3,"PSMD4_MOUSE","O35226","PSMD4"
"Psmd6","PSMD6_MOUSE","PSMD6_MOUSE",6,2,6,"PSMD6_MOUSE","Q99JI4","PSMD6_MOUSE","PSMD6_MOUSE",6,2,6,"PSMD6_MOUSE","Q99JI4","PSMD6"
"Psmd7","PSMD7_MOUSE","PSMD7_MOUSE",5,0,4,"PSMD7_MOUSE","P26516","PSMD7_MOUSE","PSMD7_MOUSE",5,0,4,"PSMD7_MOUSE","P26516","PSMD7"
"Psmd8","PSMD8_MOUSE","PSMD8_MOUSE",2,0,3,"PSMD8_MOUSE","Q9CX56","PSMD8_MOUSE","PSMD8_MOUSE",2,0,3,"PSMD8_MOUSE","Q9CX56","PSMD8"
"Psme1","PSME1_MOUSE","PSME1_MOUSE",1,0,3,"PSME1_MOUSE","P97371","PSME1_MOUSE","PSME1_MOUSE",1,0,3,"PSME1_MOUSE","P97371","PSME1"
"Psme2","PSME2_MOUSE","PSME2_MOUSE",1,1,5,"PSME2_MOUSE","P97372","PSME2_MOUSE","PSME2_MOUSE",1,1,5,"PSME2_MOUSE","P97372","PSME2"
"Ptges3","TEBP_MOUSE","TEBP_MOUSE",4,0,4,"TEBP_MOUSE","Q9R0Q7","TEBP_MOUSE","TEBP_MOUSE",4,0,4,"TEBP_MOUSE","Q9R0Q7","PTGES3"
"Ptma","PTMA_MOUSE","PTMA_MOUSE",1,0,1,"PTMA_MOUSE","P26350","PTMA_MOUSE","PTMA_MOUSE",1,0,1,"PTMA_MOUSE","P26350","PTMA"
"Rab18","RAB18_MOUSE","RAB18_MOUSE",1,1,0,"RAB18_MOUSE","P35293","RAB18_MOUSE","RAB18_MOUSE",1,1,0,"RAB18_MOUSE","P35293","RAB18"
"Rab1b","RAB1B_MOUSE","RAB1B_MOUSE",4,0,5,"RAB1B_MOUSE","Q9D1G1","RAB1B_MOUSE","RAB1B_MOUSE",4,0,5,"RAB1B_MOUSE","Q9D1G1","RAB1B"
"Rab2a","RAB2A_MOUSE","RAB2A_MOUSE",1,2,3,"RAB2A_MOUSE","P53994","RAB2A_MOUSE","RAB2A_MOUSE",1,2,3,"RAB2A_MOUSE","P53994","RAB2A"
"Rac1","RAC1_MOUSE","RAC1_MOUSE",2,1,5,"RAC1_MOUSE","P63001","RAC1_MOUSE","RAC1_MOUSE",2,1,5,"RAC1_MOUSE","P63001","RAC1"
"Rac3","RAC3_MOUSE","RAC3_MOUSE",2,1,0,"RAC3_MOUSE","P60764","RAC3_MOUSE","RAC3_MOUSE",2,1,0,"RAC3_MOUSE","P60764","RAC3"
"Rack1","RACK1_MOUSE","RACK1_MOUSE",5,0,14,"RACK1_MOUSE","P68040","RACK1_MOUSE","RACK1_MOUSE",5,0,14,"RACK1_MOUSE","P68040","RACK1"
"Rad23b","RD23B_MOUSE","RD23B_MOUSE",3,0,4,"RD23B_MOUSE","P54728","RD23B_MOUSE","RD23B_MOUSE",3,0,4,"RD23B_MOUSE","P54728","RAD23B"
"Ralb","RALB_MOUSE","RALB_MOUSE",3,0,3,"RALB_MOUSE","Q9JIW9","RALB_MOUSE","RALB_MOUSE",3,0,3,"RALB_MOUSE","Q9JIW9","RALB"
"Ran","RAN_MOUSE","RAN_MOUSE",6,0,6,"RAN_MOUSE","P62827","RAN_MOUSE","RAN_MOUSE",6,0,6,"RAN_MOUSE","P62827","RAN"
"Ranbp1","RANG_MOUSE","RANG_MOUSE",3,0,5,"RANG_MOUSE","P34022","RANG_MOUSE","RANG_MOUSE",3,0,5,"RANG_MOUSE","P34022","RANBP1"
"Rap1b","RAP1B_MOUSE","RAP1B_MOUSE",3,0,4,"RAP1B_MOUSE","Q99JI6","RAP1B_MOUSE","RAP1B_MOUSE",3,0,4,"RAP1B_MOUSE","Q99JI6","RAP1B"
"Rbx1","RBX1_MOUSE","RBX1_MOUSE",1,0,1,"RBX1_MOUSE","P62878","RBX1_MOUSE","RBX1_MOUSE",1,0,1,"RBX1_MOUSE","P62878","RBX1"
"Rcn2","RCN2_MOUSE","RCN2_MOUSE",1,0,3,"RCN2_MOUSE","Q8BP92","RCN2_MOUSE","RCN2_MOUSE",1,0,3,"RCN2_MOUSE","Q8BP92","RCN2"
"Rdx","RADI_MOUSE","RADI_MOUSE",7,6,5,"RADI_MOUSE","P26043","RADI_MOUSE","RADI_MOUSE",7,6,5,"RADI_MOUSE","P26043","RDX"
"Rer1","RER1_MOUSE","RER1_MOUSE",1,0,1,"RER1_MOUSE","Q9CQU3","RER1_MOUSE","RER1_MOUSE",1,0,1,"RER1_MOUSE","Q9CQU3","RER1"
"Rhoa","RHOA_MOUSE","RHOA_MOUSE",6,5,8,"RHOA_MOUSE","Q9QUI0","RHOA_MOUSE","RHOA_MOUSE",6,5,8,"RHOA_MOUSE","Q9QUI0","RHOA"
"Rhoc","RHOC_MOUSE","RHOC_MOUSE",6,0,8,"RHOC_MOUSE","Q62159","RHOC_MOUSE","RHOC_MOUSE",6,0,8,"RHOC_MOUSE","Q62159","RHOC"
"Rnh1","RINI_MOUSE","RINI_MOUSE",13,6,18,"RINI_MOUSE","Q91VI7","RINI_MOUSE","RINI_MOUSE",13,6,18,"RINI_MOUSE","Q91VI7","RNH1"
"Rpl10","RL10_MOUSE","RL10_MOUSE",1,0,4,"RL10_MOUSE","Q6ZWV3","RL10_MOUSE","RL10_MOUSE",1,0,4,"RL10_MOUSE","Q6ZWV3","RPL10"
"Rpl10a","RL10A_MOUSE","RL10A_MOUSE",1,0,5,"RL10A_MOUSE","P53026","RL10A_MOUSE","RL10A_MOUSE",1,0,5,"RL10A_MOUSE","P53026","RPL10A"
"Rpl11","RL11_MOUSE","RL11_MOUSE",2,1,3,"RL11_MOUSE","Q9CXW4","RL11_MOUSE","RL11_MOUSE",2,1,3,"RL11_MOUSE","Q9CXW4","RPL11"
"Rpl12","RL12_MOUSE","RL12_MOUSE",2,0,5,"RL12_MOUSE","P35979","RL12_MOUSE","RL12_MOUSE",2,0,5,"RL12_MOUSE","P35979","RPL12"
"Rpl13","RL13_MOUSE","RL13_MOUSE",2,0,3,"RL13_MOUSE","P47963","RL13_MOUSE","RL13_MOUSE",2,0,3,"RL13_MOUSE","P47963","RPL13"
"Rpl13a","RL13A_MOUSE","RL13A_MOUSE",2,0,4,"RL13A_MOUSE","P19253","RL13A_MOUSE","RL13A_MOUSE",2,0,4,"RL13A_MOUSE","P19253","RPL13A"
"Rpl14","RL14_MOUSE","RL14_MOUSE",2,0,3,"RL14_MOUSE","Q9CR57","RL14_MOUSE","RL14_MOUSE",2,0,3,"RL14_MOUSE","Q9CR57","RPL14"
"Rpl15","RL15_MOUSE","RL15_MOUSE",2,1,4,"RL15_MOUSE","Q9CZM2","RL15_MOUSE","RL15_MOUSE",2,1,4,"RL15_MOUSE","Q9CZM2","RPL15"
"Rpl17","RL17_MOUSE","RL17_MOUSE",1,0,4,"RL17_MOUSE","Q9CPR4","RL17_MOUSE","RL17_MOUSE",1,0,4,"RL17_MOUSE","Q9CPR4","RPL17"
"Rpl18","RL18_MOUSE","RL18_MOUSE",2,0,2,"RL18_MOUSE","P35980","RL18_MOUSE","RL18_MOUSE",2,0,2,"RL18_MOUSE","P35980","RPL18"
"Rpl18a","RL18A_MOUSE","RL18A_MOUSE",4,0,4,"RL18A_MOUSE","P62717","RL18A_MOUSE","RL18A_MOUSE",4,0,4,"RL18A_MOUSE","P62717","RPL18A"
"Rpl19","RL19_MOUSE","RL19_MOUSE",1,1,1,"RL19_MOUSE","P84099","RL19_MOUSE","RL19_MOUSE",1,1,1,"RL19_MOUSE","P84099","RPL19"
"Rpl22l1","RL22L_MOUSE","RL22L_MOUSE",1,0,2,"RL22L_MOUSE","Q9D7S7","RL22L_MOUSE","RL22L_MOUSE",1,0,2,"RL22L_MOUSE","Q9D7S7","RPL22L1"
"Rpl23","RL23_MOUSE","RL23_MOUSE",2,0,3,"RL23_MOUSE","P62830","RL23_MOUSE","RL23_MOUSE",2,0,3,"RL23_MOUSE","P62830","RPL23"
"Rpl23a","RL23A_MOUSE","RL23A_MOUSE",1,0,3,"RL23A_MOUSE","P62751","RL23A_MOUSE","RL23A_MOUSE",1,0,3,"RL23A_MOUSE","P62751","RPL23A"
"Rpl24","RL24_MOUSE","RL24_MOUSE",2,0,3,"RL24_MOUSE","Q8BP67","RL24_MOUSE","RL24_MOUSE",2,0,3,"RL24_MOUSE","Q8BP67","RPL24"
"Rpl26","RL26_MOUSE","RL26_MOUSE",1,0,1,"RL26_MOUSE","P61255","RL26_MOUSE","RL26_MOUSE",1,0,1,"RL26_MOUSE","P61255","RPL26"
"Rpl27","RL27_MOUSE","RL27_MOUSE",3,0,3,"RL27_MOUSE","P61358","RL27_MOUSE","RL27_MOUSE",3,0,3,"RL27_MOUSE","P61358","RPL27"
"Rpl27a","RL27A_MOUSE","RL27A_MOUSE",1,0,3,"RL27A_MOUSE","P14115","RL27A_MOUSE","RL27A_MOUSE",1,0,3,"RL27A_MOUSE","P14115","RPL27A"
"Rpl28","RL28_MOUSE","RL28_MOUSE",1,0,1,"RL28_MOUSE","P41105","RL28_MOUSE","RL28_MOUSE",1,0,1,"RL28_MOUSE","P41105","RPL28"
"Rpl3","RL3_MOUSE","RL3_MOUSE",1,1,5,"RL3_MOUSE","P27659","RL3_MOUSE","RL3_MOUSE",1,1,5,"RL3_MOUSE","P27659","RPL3"
"Rpl30","RL30_MOUSE","RL30_MOUSE",3,0,2,"RL30_MOUSE","P62889","RL30_MOUSE","RL30_MOUSE",3,0,2,"RL30_MOUSE","P62889","RPL30"
"Rpl31","RL31_MOUSE","RL31_MOUSE",1,0,1,"RL31_MOUSE","P62900","RL31_MOUSE","RL31_MOUSE",1,0,1,"RL31_MOUSE","P62900","RPL31"
"Rpl37a","RL37A_MOUSE","RL37A_MOUSE",1,0,1,"RL37A_MOUSE","P61514","RL37A_MOUSE","RL37A_MOUSE",1,0,1,"RL37A_MOUSE","P61514","RPL37A"
"Rpl38","RL38_MOUSE","RL38_MOUSE",1,0,3,"RL38_MOUSE","Q9JJI8","RL38_MOUSE","RL38_MOUSE",1,0,3,"RL38_MOUSE","Q9JJI8","RPL38"
"Rpl4","RL4_MOUSE","RL4_MOUSE",5,4,11,"RL4_MOUSE","Q9D8E6","RL4_MOUSE","RL4_MOUSE",5,4,11,"RL4_MOUSE","Q9D8E6","RPL4"
"Rpl5","RL5_MOUSE","RL5_MOUSE",3,2,5,"RL5_MOUSE","P47962","RL5_MOUSE","RL5_MOUSE",3,2,5,"RL5_MOUSE","P47962","RPL5"
"Rpl6","RL6_MOUSE","RL6_MOUSE",4,3,5,"RL6_MOUSE","P47911","RL6_MOUSE","RL6_MOUSE",4,3,5,"RL6_MOUSE","P47911","RPL6"
"Rpl7","RL7_MOUSE","RL7_MOUSE",2,0,6,"RL7_MOUSE","P14148","RL7_MOUSE","RL7_MOUSE",2,0,6,"RL7_MOUSE","P14148","RPL7"
"Rpl7a","RL7A_MOUSE","RL7A_MOUSE",4,1,7,"RL7A_MOUSE","P12970","RL7A_MOUSE","RL7A_MOUSE",4,1,7,"RL7A_MOUSE","P12970","RPL7A"
"Rpl8","RL8_MOUSE","RL8_MOUSE",1,0,4,"RL8_MOUSE","P62918","RL8_MOUSE","RL8_MOUSE",1,0,4,"RL8_MOUSE","P62918","RPL8"
"Rpl9","RL9_MOUSE","RL9_MOUSE",4,1,4,"RL9_MOUSE","P51410","RL9_MOUSE","RL9_MOUSE",4,1,4,"RL9_MOUSE","P51410","RPL9"
"Rplp0","RLA0_MOUSE","RLA0_MOUSE",4,2,5,"RLA0_MOUSE","P14869","RLA0_MOUSE","RLA0_MOUSE",4,2,5,"RLA0_MOUSE","P14869","RPLP0"
"Rplp1","RLA1_MOUSE","RLA1_MOUSE",5,0,4,"RLA1_MOUSE","P47955","RLA1_MOUSE","RLA1_MOUSE",5,0,4,"RLA1_MOUSE","P47955","RPLP1"
"Rplp2","RLA2_MOUSE","RLA2_MOUSE",3,0,4,"RLA2_MOUSE","P99027","RLA2_MOUSE","RLA2_MOUSE",3,0,4,"RLA2_MOUSE","P99027","RPLP2"
"Rpn1","RPN1_MOUSE","RPN1_MOUSE",12,7,18,"RPN1_MOUSE","Q91YQ5","RPN1_MOUSE","RPN1_MOUSE",12,7,18,"RPN1_MOUSE","Q91YQ5","RPN1"
"Rpn2","RPN2_MOUSE","RPN2_MOUSE",8,5,13,"RPN2_MOUSE","Q9DBG6","RPN2_MOUSE","RPN2_MOUSE",8,5,13,"RPN2_MOUSE","Q9DBG6","RPN2"
"Rps10","RS10_MOUSE","RS10_MOUSE",3,0,5,"RS10_MOUSE","P63325","RS10_MOUSE","RS10_MOUSE",3,0,5,"RS10_MOUSE","P63325","RPS10"
"Rps11","RS11_MOUSE","RS11_MOUSE",2,0,2,"RS11_MOUSE","P62281","RS11_MOUSE","RS11_MOUSE",2,0,2,"RS11_MOUSE","P62281","RPS11"
"Rps12","RS12_MOUSE","RS12_MOUSE",2,1,4,"RS12_MOUSE","P63323","RS12_MOUSE","RS12_MOUSE",2,1,4,"RS12_MOUSE","P63323","RPS12"
"Rps13","RS13_MOUSE","RS13_MOUSE",4,0,4,"RS13_MOUSE","P62301","RS13_MOUSE","RS13_MOUSE",4,0,4,"RS13_MOUSE","P62301","RPS13"
"Rps14","RS14_MOUSE","RS14_MOUSE",3,0,3,"RS14_MOUSE","P62264","RS14_MOUSE","RS14_MOUSE",3,0,3,"RS14_MOUSE","P62264","RPS14"
"Rps15a","RS15A_MOUSE","RS15A_MOUSE",3,1,6,"RS15A_MOUSE","P62245","RS15A_MOUSE","RS15A_MOUSE",3,1,6,"RS15A_MOUSE","P62245","RPS15A"
"Rps16","RS16_MOUSE","RS16_MOUSE",3,0,3,"RS16_MOUSE","P14131","RS16_MOUSE","RS16_MOUSE",3,0,3,"RS16_MOUSE","P14131","RPS16"
"Rps17","RS17_MOUSE","RS17_MOUSE",3,0,4,"RS17_MOUSE","P63276","RS17_MOUSE","RS17_MOUSE",3,0,4,"RS17_MOUSE","P63276","RPS17"
"Rps18","RS18_MOUSE","RS18_MOUSE",1,0,3,"RS18_MOUSE","P62270","RS18_MOUSE","RS18_MOUSE",1,0,3,"RS18_MOUSE","P62270","RPS18"
"Rps19","RS19_MOUSE","RS19_MOUSE",1,0,2,"RS19_MOUSE","Q9CZX8","RS19_MOUSE","RS19_MOUSE",1,0,2,"RS19_MOUSE","Q9CZX8","RPS19"
"Rps2","RS2_MOUSE","RS2_MOUSE",4,0,8,"RS2_MOUSE","P25444","RS2_MOUSE","RS2_MOUSE",4,0,8,"RS2_MOUSE","P25444","RPS2"
"Rps20","RS20_MOUSE","RS20_MOUSE",3,0,3,"RS20_MOUSE","P60867","RS20_MOUSE","RS20_MOUSE",3,0,3,"RS20_MOUSE","P60867","RPS20"
"Rps23","RS23_MOUSE","RS23_MOUSE",2,0,3,"RS23_MOUSE","P62267","RS23_MOUSE","RS23_MOUSE",2,0,3,"RS23_MOUSE","P62267","RPS23"
"Rps24","RS24_MOUSE","RS24_MOUSE",1,0,4,"RS24_MOUSE","P62849","RS24_MOUSE","RS24_MOUSE",1,0,4,"RS24_MOUSE","P62849","RPS24"
"Rps25","RS25_MOUSE","RS25_MOUSE",1,0,3,"RS25_MOUSE","P62852","RS25_MOUSE","RS25_MOUSE",1,0,3,"RS25_MOUSE","P62852","RPS25"
"Rps26","RS26_MOUSE","RS26_MOUSE",1,0,1,"RS26_MOUSE","P62855","RS26_MOUSE","RS26_MOUSE",1,0,1,"RS26_MOUSE","P62855","RPS26"
"Rps27l","RS27L_MOUSE","RS27L_MOUSE",2,1,2,"RS27L_MOUSE","Q6ZWY3","RS27L_MOUSE","RS27L_MOUSE",2,1,2,"RS27L_MOUSE","Q6ZWY3","RPS27L"
"Rps3","RS3_MOUSE","RS3_MOUSE",7,4,10,"RS3_MOUSE","P62908","RS3_MOUSE","RS3_MOUSE",7,4,10,"RS3_MOUSE","P62908","RPS3"
"Rps4x","RS4X_MOUSE","RS4X_MOUSE",7,0,7,"RS4X_MOUSE","P62702","RS4X_MOUSE","RS4X_MOUSE",7,0,7,"RS4X_MOUSE","P62702","RPS4X"
"Rps5","RS5_MOUSE","RS5_MOUSE",2,2,4,"RS5_MOUSE","P97461","RS5_MOUSE","RS5_MOUSE",2,2,4,"RS5_MOUSE","P97461","RPS5"
"Rps6","RS6_MOUSE","RS6_MOUSE",3,1,3,"RS6_MOUSE","P62754","RS6_MOUSE","RS6_MOUSE",3,1,3,"RS6_MOUSE","P62754","RPS6"
"Rps7","RS7_MOUSE","RS7_MOUSE",3,0,5,"RS7_MOUSE","P62082","RS7_MOUSE","RS7_MOUSE",3,0,5,"RS7_MOUSE","P62082","RPS7"
"Rps8","RS8_MOUSE","RS8_MOUSE",6,4,5,"RS8_MOUSE","P62242","RS8_MOUSE","RS8_MOUSE",6,4,5,"RS8_MOUSE","P62242","RPS8"
"Rps9","RS9_MOUSE","RS9_MOUSE",2,0,4,"RS9_MOUSE","Q6ZWN5","RS9_MOUSE","RS9_MOUSE",2,0,4,"RS9_MOUSE","Q6ZWN5","RPS9"
"Rpsa","RSSA_MOUSE","RSSA_MOUSE",8,1,13,"RSSA_MOUSE","P14206","RSSA_MOUSE","RSSA_MOUSE",8,1,13,"RSSA_MOUSE","P14206","RPSA"
"Rrbp1","RRBP1_MOUSE","RRBP1_MOUSE",6,4,7,"RRBP1_MOUSE","Q99PL5","RRBP1_MOUSE","RRBP1_MOUSE",6,4,7,"RRBP1_MOUSE","Q99PL5","RRBP1"
"S100a11","S10AB_MOUSE","S10AB_MOUSE",4,0,3,"S10AB_MOUSE","P50543","S10AB_MOUSE","S10AB_MOUSE",4,0,3,"S10AB_MOUSE","P50543","S100A11"
"S100a6","S10A6_MOUSE","S10A6_MOUSE",6,4,3,"S10A6_MOUSE","P14069","S10A6_MOUSE","S10A6_MOUSE",6,4,3,"S10A6_MOUSE","P14069","S100A6"
"Sdf2l1","SDF2L_MOUSE","SDF2L_MOUSE",5,0,6,"SDF2L_MOUSE","Q9ESP1","SDF2L_MOUSE","SDF2L_MOUSE",5,0,6,"SDF2L_MOUSE","Q9ESP1","SDF2L1"
"Sec11a","SC11A_MOUSE","SC11A_MOUSE",1,0,1,"SC11A_MOUSE","Q9R0P6","SC11A_MOUSE","SC11A_MOUSE",1,0,1,"SC11A_MOUSE","Q9R0P6","SEC11A"
"Sec13","SEC13_MOUSE","SEC13_MOUSE",2,0,2,"SEC13_MOUSE","Q9D1M0","SEC13_MOUSE","SEC13_MOUSE",2,0,2,"SEC13_MOUSE","Q9D1M0","SEC13"
"Sec22b","SC22B_MOUSE","SC22B_MOUSE",2,0,6,"SC22B_MOUSE","O08547","SC22B_MOUSE","SC22B_MOUSE",2,0,6,"SC22B_MOUSE","O08547","SEC22B"
"Sec23b","SC23B_MOUSE","SC23B_MOUSE",3,0,3,"SC23B_MOUSE","Q9D662","SC23B_MOUSE","SC23B_MOUSE",3,0,3,"SC23B_MOUSE","Q9D662","SEC23B"
"Sec31a","SC31A_MOUSE","SC31A_MOUSE",8,3,5,"SC31A_MOUSE","Q3UPL0","SC31A_MOUSE","SC31A_MOUSE",8,3,5,"SC31A_MOUSE","Q3UPL0","SEC31A"
"Sec61a1","S61A1_MOUSE","S61A1_MOUSE",2,0,2,"S61A1_MOUSE","P61620","S61A1_MOUSE","S61A1_MOUSE",2,0,2,"S61A1_MOUSE","P61620","SEC61A1"
"Sec61g","SC61G_MOUSE","SC61G_MOUSE",1,0,1,"SC61G_MOUSE","P60060","SC61G_MOUSE","SC61G_MOUSE",1,0,1,"SC61G_MOUSE","P60060","SEC61G"
"Septin11","SEP11_MOUSE","SEP11_MOUSE",3,0,3,"SEP11_MOUSE","Q8C1B7","SEP11_MOUSE","SEP11_MOUSE",3,0,3,"SEP11_MOUSE","Q8C1B7","SEPTIN11"
"Septin2","SEPT2_MOUSE","SEPT2_MOUSE",5,2,6,"SEPT2_MOUSE","P42208","SEPT2_MOUSE","SEPT2_MOUSE",5,2,6,"SEPT2_MOUSE","P42208","SEPTIN2"
"Septin6","SEPT6_MOUSE","SEPT6_MOUSE",0,2,1,"SEPT6_MOUSE","Q9R1T4","SEPT6_MOUSE","SEPT6_MOUSE",0,2,1,"SEPT6_MOUSE","Q9R1T4","SEPTIN6"
"Septin7","SEPT7_MOUSE","SEPT7_MOUSE",4,0,2,"SEPT7_MOUSE","O55131","SEPT7_MOUSE","SEPT7_MOUSE",4,0,2,"SEPT7_MOUSE","O55131","SEPTIN7"
"Septin9","SEPT9_MOUSE","SEPT9_MOUSE",2,1,5,"SEPT9_MOUSE","Q80UG5","SEPT9_MOUSE","SEPT9_MOUSE",2,1,5,"SEPT9_MOUSE","Q80UG5","SEPTIN9"
"Serbp1","PAIRB_MOUSE","PAIRB_MOUSE",1,0,2,"PAIRB_MOUSE","Q9CY58","PAIRB_MOUSE","PAIRB_MOUSE",1,0,2,"PAIRB_MOUSE","Q9CY58","SERBP1"
