"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"GNPI1_MOUSE",0,0,0,2,0,2,"O88958","GNPI1_MOUSE","Gnpda1"
"GPX1_MOUSE",0,0,0,5,0,4,"P11352","GPX1_MOUSE","Gpx1"
"GPX41_MOUSE",0,0,0,1,0,2,"O70325","GPX4_MOUSE","Gpx4"
"GRP75_MOUSE",0,0,0,1,1,1,"P38647","GRP75_MOUSE","Hspa9"
"GRP78_MOUSE",0,0,0,51,39,36,"P20029","BIP_MOUSE","Hspa5"
"GSTP1_MOUSE",0,0,0,3,0,4,"P19157","GSTP1_MOUSE","Gstp1"
"GTR1_MOUSE",0,0,0,4,2,5,"P17809","GTR1_MOUSE","Slc2a1"
"H12_MOUSE",0,0,0,1,0,2,"P15864","H12_MOUSE","H1-2"
"H13_MOUSE",0,2,0,1,1,2,"P43277","H13_MOUSE","H1-3"
"H14_MOUSE",0,1,0,1,0,2,"P43274","H14_MOUSE","H1-4"
"H2AX_MOUSE",0,0,0,6,0,3,"P27661","H2AX_MOUSE","H2ax"
"H2B1B_MOUSE",0,1,0,3,0,3,"Q64475","H2B1B_MOUSE","Hist1h2bb"
"H2B1C_MOUSE",0,1,1,3,0,3,"Q6ZWY9","H2B1C_MOUSE","Hist1h2bc"
"H2B1F_MOUSE",0,1,0,3,0,3,"P10853","H2B1F_MOUSE","Hist1h2bf"
"H2B1H_MOUSE",0,1,1,3,0,3,"Q64478","H2B1H_MOUSE","Hist1h2bh"
"H2B1K_MOUSE",0,1,0,3,0,3,"Q8CGP1","H2B1K_MOUSE","H2bc12"
"H2B1M_MOUSE",0,1,1,3,0,3,"P10854","H2B1M_MOUSE","H2bc14"
"H2B1P_MOUSE",0,1,0,3,0,3,"Q8CGP2","H2B1P_MOUSE","Hist1h2bp"
"H2B2B_MOUSE",0,1,1,3,0,3,"Q64525","H2B2B_MOUSE","Hist2h2bb"
"H4_MOUSE",1,2,0,4,1,6,"P62806","H4_MOUSE","Hist1h4a"
"HBA_MOUSE",4,3,5,16,5,20,"P01942","HBA_MOUSE","Hba"
"HBAZ_MOUSE",0,0,0,9,3,9,"P06467","HBAZ_MOUSE","Hbz"
"HBB1_MOUSE",3,2,8,23,9,24,"P02088","HBB1_MOUSE","Hbb-b1"
"HBB2_MOUSE",3,2,0,0,0,14,"P02089","HBB2_MOUSE","Hbb-b2"
"HBBZ_MOUSE",0,0,0,6,0,9,"P04444","HBBZ_MOUSE","Hbb-bh1"
